type,id,name,parent_type,parent_id
list,901404182751,Peak Radar,folder,90142336654
folder,901410792507,Custom 19 Woodworks,space,90141222492
list,901418182665,New Client Setup,folder,901410792507
list,901418158679,Admin/Others,folder,901410792507
folder,90141883210,DET - Diamond Event and Tent,space,90141222492
list,901403680952,Website Content Update,folder,90141883210
list,901403935254,Admin/Others,folder,90141883210
list,901403967135,Website Maintenance / Website Technical Issues,folder,90141883210
list,901405076192,Website Development,folder,90141883210
list,901405209402,Service Level Agreement Quota (copy),folder,90141883210
list,901412749593,Website Design,folder,90141883210
list,901412913528,WP <> WP - Website Migration & Build,folder,90141883210
list,901413623257,Website Pre-Launch Checklist,folder,90141883210
list,901413780065,Website Launch/Publishing,folder,90141883210
folder,90144431740,DSC - DiStefano Sales Company,space,90141222492
list,901408447021,Admin/Others,folder,90144431740
list,901408732059,Facebook Organic Management,folder,90144431740
list,901408732069,LinkedIn Organic Management,folder,90144431740
list,901408732071,Facebook Ads,folder,90144431740
list,901408732081,LinkedIn Ads,folder,90144431740
list,901409514184,Social Media,folder,90144431740
folder,90147600645,DPTR - Doucette's Party and Tent Rental,space,90141222492
list,901414196248,New Client Setup,folder,90147600645
list,901414196165,Admin/Others,folder,90147600645
list,901414196168,WP From Scratch,folder,90147600645
list,901414261419,Website Pre-Launch Checklist,folder,90147600645
list,901414284623,Website Launch/Publishing,folder,90147600645
list,901414300365,Website Maintenance/Technical Issue,folder,90147600645
list,901414196173,Website Hosting,folder,90147600645
list,901414196176,Google Ads,folder,90147600645
list,901414196184,Retargeting,folder,90147600645
list,901414403867,Website Content Update,folder,90147600645
folder,90142184939,EBA - Elevated by Art,space,90141222492
list,901403688519,Website Maintenance/ Website Technical Issues,folder,90142184939
list,901403935320,Website Content Update,folder,90142184939
list,901403935325,Admin/Others,folder,90142184939
folder,90142340906,EER - Encore Events Rentals,space,90141222492
list,901407334792,WP <> WP - Website Migration & Build,folder,90142340906
list,901404396025,Website Development,folder,90142340906
list,901404396046,Website Content Update,folder,90142340906
list,901403926238,Admin/Others,folder,90142340906
list,901408340480,Website Maintenance,folder,90142340906
list,901406132163,Service Level Agreement Quota,folder,90142340906
folder,90144770171,EER Equipment - Elevated Equipment Rentals,space,90141222492
list,901409554092,Admin/Others,folder,90144770171
list,901409621039,Website Design,folder,90144770171
list,901409554114,WP From Scratch,folder,90144770171
list,901409777916,Website Pre-Launch Checklist,folder,90144770171
list,901409988990,Website Launch/Publishing ,folder,90144770171
list,901410035100,Website Maintenance/Technical Issue,folder,90144770171
list,901416577932,Website Content Update,folder,90144770171
folder,90149672203,EP Event Rentals,space,90141222492
list,901416783952,New Client Setup,folder,90149672203
list,901416783902,Admin/Others,folder,90149672203
list,901416783961,WP <> WP - Website Migration & Build,folder,90149672203
list,901417168470,Website Pre-Launch Checklist,folder,90149672203
list,901417288956,Website Launch/Publishing,folder,90149672203
list,901417289132,Website Maintenance/Technical Issue,folder,90149672203
list,901417289240,Website Content Update,folder,90149672203
folder,90141883221,ER - EventRent,space,90141222492
list,901406642007,ER - SEO Content Tracker,folder,90141883221
list,901403203320,Search Engine Optimization (SEO),folder,90141883221
list,901403965619,Website Maintenance/Website Technical Issues,folder,90141883221
list,901403935340,Website Content Update,folder,90141883221
list,901403749039,Website Design,folder,90141883221
list,901403935352,Admin/Others,folder,90141883221
list,901405207756,Service Level Agreement Quota,folder,90141883221
folder,90142336531,FAC - Fine Art Center,space,90141222492
list,901403935390,Admin/Others,folder,90142336531
list,901404695052,Display Awareness,folder,90142336531
folder,90141883338,FTSC - First Tee Of Southern Colorado,space,90141222492
list,901403203479,Facebook Ads,folder,90141883338
list,901403203651,Display - Awareness,folder,90141883338
list,901403935412,Admin/Others,folder,90141883338
folder,90147418775,FP - Flexx Productions,space,90141222492
list,901413790426,New Client Setup,folder,90147418775
list,901413790406,Admin/Others,folder,90147418775
list,901413790521,Search Engine Optimization (SEO),folder,90147418775
list,901414199515,Website Development,folder,90147418775
list,901414296766,Digital Display - Always 72 dpi,folder,90147418775
list,901414989700,Website Backend Updates,folder,90147418775
list,901417554304,FP - SEO Content Tracker,folder,90147418775
list,901417683796,Website Content Updates,folder,90147418775
folder,90144066428,Flow Right,space,90141222492
list,901407264207,List,folder,90144066428
folder,90146961504,GL - Ganderton Law,space,90141222492
list,901412650738,New Client Setup ,folder,90146961504
list,901412618545,Admin/Others,folder,90146961504
list,901412618580,Video Production,folder,90146961504
list,901412618602,Programmatic,folder,90146961504
folder,90141883235,GK - Goodwin Knight,space,90141222492
list,901403203340,Website Maintenance/ Website Technical Issues,folder,90141883235
list,901403682664,Website Content Update,folder,90141883235
list,901403689077,Admin/Others,folder,90141883235
list,901403746433,Video/Photography,folder,90141883235
list,901414258492,Graphic Design,folder,90141883235
folder,90144839859,GC - Gotcha Covered,space,90141222492
list,901409890900,WP From Scratch,folder,90144839859
list,901409891389,Admin/Others,folder,90144839859
list,901409892371,Google Ads,folder,90144839859
list,901409892419,Website Pre-Launch Checklist,folder,90144839859
list,901409892434,Website Launch/Publishing,folder,90144839859
list,901412845652,Website Content Update,folder,90144839859
list,901413472037,Website Development,folder,90144839859
folder,901410493154,HE - Highlift Equipment,space,90141222492
list,901417806702,New Client Setup,folder,901410493154
list,901417806653,Admin/Others,folder,901410493154
list,901417806697,Marketing Audit,folder,901410493154
folder,90141883239,HSPPR - Humane Society of the Pikes Peak Region,space,90141222492
list,901404004692,Google Ads (SEM),folder,90141883239
list,901403203347,Admin/Others,folder,90141883239
folder,90141883249,IL - Illusions Rentals,space,90141222492
list,901403967216,Website Maintenance / Website Technical Issues,folder,90141883249
list,901403203366,Website Development,folder,90141883249
list,901403939402,Admin/Others,folder,90141883249
folder,90142450911,KS - Kimberley Sherwood,space,90141222492
list,901404688043,Onboarding,folder,90142450911
list,901407761406,Admin,folder,90142450911
list,901408132245,Newsletters,folder,90142450911
list,901404097448,August Newsletter,folder,90142450911
list,901404892364,September Newsletter,folder,90142450911
list,901405945777,October Newsletter ,folder,90142450911
list,901406463890,November Newsletter,folder,90142450911
list,901406616087,December Newsletter ,folder,90142450911
list,901406985959,January'25 Newsletter,folder,90142450911
list,901407299334,February'25 Newsletter,folder,90142450911
list,901407711511,March'25 Newsletter,folder,90142450911
folder,90142555599,KL - Koopman Lumber,space,90141222492
list,901404280059,Website Content Update,folder,90142555599
list,901406487789,Website Maintenance / Website Technical Issue,folder,90142555599
list,901404278342,"KL - 
Customer Information",folder,90142555599
list,901408828969,Website Development,folder,90142555599
folder,90144615679,OHS - Omnicare Health Services,space,90141222492
list,901408940224,Video Production,folder,90144615679
list,901409560081,Design,folder,90144615679
list,901409895052,Admin/Others,folder,90144615679
folder,90142185018,POC - People of Colorado,space,90141222492
list,901403688643,Website Maintenance/ Website Technical Issues,folder,90142185018
list,901403935562,Admin/Others,folder,90142185018
folder,90141883278,PPWFC - Pikes Peak Workforce Center,space,90141222492
list,901403935615,Admin/Others,folder,90141883278
folder,90148662091,PPSBDC - Pikes Peak Small Business Development Center,space,90141222492
list,901415544084,Admin/Others,folder,90148662091
folder,90142402856,RAE - Rent-All Equipment,space,90141222492
list,901404075347,Website Design,folder,90142402856
list,901404021244,Website Migration,folder,90142402856
